label,image_paths,calories,protein_g,fat_g,carbohydrates_g,fiber_g
apple,"[""apple/Image_1.jpg"", ""apple/Image_10.jpg"", ""apple/Image_2.jpg"", ""apple/Image_3.jpg"", ""apple/Image_4.jpg"", ""apple/Image_5.jpg"", ""apple/Image_6.JPG"", ""apple/Image_7.jpg"", ""apple/Image_8.jpg"", ""apple/Image_9.jpg""]",52,0.3,0.2,13.8,2.4
banana,"[""banana/Image_1.jpg"", ""banana/Image_10.jpg"", ""banana/Image_2.jpg"", ""banana/Image_3.jpg"", ""banana/Image_4.jpg"", ""banana/Image_5.jpg"", ""banana/Image_6.jpg"", ""banana/Image_8.jpg"", ""banana/Image_9.jpg""]",89,1.1,0.3,22.8,2.6
beetroot,"[""beetroot/Image_1.jpg"", ""beetroot/Image_10.jpg"", ""beetroot/Image_2.jpg"", ""beetroot/Image_3.jpg"", ""beetroot/Image_4.jpg"", ""beetroot/Image_5.jpg"", ""beetroot/Image_6.jpg"", ""beetroot/Image_7.jpg"", ""beetroot/Image_8.jpg"", ""beetroot/Image_9.jpg""]",43,1.6,0.2,9.6,2.8
bell pepper,"[""bell pepper/Image_1.jpg"", ""bell pepper/Image_10.jpg"", ""bell pepper/Image_2.jpg"", ""bell pepper/Image_3.jpeg"", ""bell pepper/Image_4.jpg"", ""bell pepper/Image_5.jpg"", ""bell pepper/Image_6.jpg"", ""bell pepper/Image_7.jpg"", ""bell pepper/Image_8.jpg"", ""bell pepper/Image_9.jpg""]",31,1,0.3,6,2.1
cabbage,"[""cabbage/Image_1.jpg"", ""cabbage/Image_10.jpg"", ""cabbage/Image_2.jpg"", ""cabbage/Image_3.jpg"", ""cabbage/Image_4.jpg"", ""cabbage/Image_5.jpg"", ""cabbage/Image_6.jpg"", ""cabbage/Image_7.jpg"", ""cabbage/Image_8.jpg"", ""cabbage/Image_9.jpg""]",25,1.3,0.1,5.8,2.5
capsicum,"[""capsicum/Image_1.jpg"", ""capsicum/Image_10.jpg"", ""capsicum/Image_2.jpg"", ""capsicum/Image_3.JPG"", ""capsicum/Image_4.jpg"", ""capsicum/Image_5.jpg"", ""capsicum/Image_6.jpg"", ""capsicum/Image_7.jpg"", ""capsicum/Image_8.jpg"", ""capsicum/Image_9.jpg""]",31,1,0.3,6,2.1
carrot,"[""carrot/Image_1.jpg"", ""carrot/Image_10.jpg"", ""carrot/Image_2.jpg"", ""carrot/Image_3.jpg"", ""carrot/Image_4.png"", ""carrot/Image_5.jpg"", ""carrot/Image_6.jpg"", ""carrot/Image_7.JPG"", ""carrot/Image_8.jpg"", ""carrot/Image_9.jpeg""]",41,0.9,0.2,9.6,2.8
cauliflower,"[""cauliflower/Image_1.jpg"", ""cauliflower/Image_10.jpg"", ""cauliflower/Image_2.jpg"", ""cauliflower/Image_3.jpg"", ""cauliflower/Image_4.jpg"", ""cauliflower/Image_5.JPG"", ""cauliflower/Image_6.jpg"", ""cauliflower/Image_7.jpg"", ""cauliflower/Image_8.jpg"", ""cauliflower/Image_9.jpg""]",25,1.9,0.3,5,2
chilli pepper,"[""chilli pepper/Image_1.jpg"", ""chilli pepper/Image_10.jpg"", ""chilli pepper/Image_2.png"", ""chilli pepper/Image_3.jpg"", ""chilli pepper/Image_4.jpg"", ""chilli pepper/Image_5.png"", ""chilli pepper/Image_6.jpeg"", ""chilli pepper/Image_7.jpg"", ""chilli pepper/Image_8.jpg"", ""chilli pepper/Image_9.jpg""]",40,1.9,0.4,8.8,1.5
corn,"[""corn/Image_1.jpg"", ""corn/Image_10.jpg"", ""corn/Image_2.jpg"", ""corn/Image_3.jpg"", ""corn/Image_4.jpg"", ""corn/Image_5.jpg"", ""corn/Image_6.jpg"", ""corn/Image_7.jpg"", ""corn/Image_8.jpg"", ""corn/Image_9.jpg""]",86,3.3,1.4,19,2.7
cucumber,"[""cucumber/Image_1.jpg"", ""cucumber/Image_10.jpg"", ""cucumber/Image_2.jpg"", ""cucumber/Image_3.jpg"", ""cucumber/Image_4.jpg"", ""cucumber/Image_5.jpg"", ""cucumber/Image_6.jpg"", ""cucumber/Image_7.jpg"", ""cucumber/Image_8.jpg"", ""cucumber/Image_9.jpg""]",15,0.7,0.1,3.6,0.5
eggplant,"[""eggplant/Image_1.jpg"", ""eggplant/Image_10.jpg"", ""eggplant/Image_2.jpg"", ""eggplant/Image_3.jpg"", ""eggplant/Image_4.jpg"", ""eggplant/Image_5.jpg"", ""eggplant/Image_6.jpg"", ""eggplant/Image_7.jpg"", ""eggplant/Image_8.jpg"", ""eggplant/Image_9.jpg""]",25,1,0.2,5.9,3
